date,geography,industry,characteristics,estimate
March 2018,Nova Scotia,Public administration,Employment,28.6
March 2018,Nova Scotia,Public administration,Labour force,29.9
March 2018,Nova Scotia,Real estate and leasing,Employment,7.5999999
March 2018,Nova Scotia,Real estate and leasing,Labour force,7.5999999
March 2018,Nova Scotia,"Total, all industries",Employment,436.79999
March 2018,Nova Scotia,"Total, all industries",Labour force,478.60001
March 2018,Nova Scotia,Trade,Employment,76.599998
March 2018,Nova Scotia,Trade,Labour force,80.300003
March 2018,Nova Scotia,Transportation and warehousing,Employment,19.299999
March 2018,Nova Scotia,Transportation and warehousing,Labour force,20.6
March 2018,Nova Scotia,Utilities,Employment,4.1999998
March 2018,Nova Scotia,Utilities,Labour force,4.1999998
March 2018,Ontario,Accommodation and food services,Employment,457.29999
March 2018,Ontario,Accommodation and food services,Labour force,486.29999
March 2018,Ontario,Agriculture,Employment,69.699997
March 2018,Ontario,Agriculture,Labour force,75.599998
March 2018,Ontario,"Business, building and other support services",Employment,299.39999
March 2018,Ontario,"Business, building and other support services",Labour force,324.60001
March 2018,Ontario,Construction,Employment,500.29999
March 2018,Ontario,Construction,Labour force,544.09998
March 2018,Ontario,Digital Economy,Employment,778.20001
March 2018,Ontario,Digital Economy,Labour force,800.29999
March 2018,Ontario,Educational services,Employment,508.20001
March 2018,Ontario,Educational services,Labour force,529.90002
March 2018,Ontario,"Finance, insurance,",Employment,395.79999
March 2018,Ontario,"Finance, insurance,",Labour force,405.70001
March 2018,Ontario,"Forestry, fishing,",Employment,5.3000002
March 2018,Ontario,"Forestry, fishing,",Labour force,5.4000001
March 2018,Ontario,Health care and social assistance,Employment,828.29999
March 2018,Ontario,Health care and social assistance,Labour force,846.29999
March 2018,Ontario,Information and Communication Technologies,Employment,382
March 2018,Ontario,Information and Communication Technologies,Labour force,391.5
March 2018,Ontario,"Information, culture and recreation",Employment,293.20001
March 2018,Ontario,"Information, culture and recreation",Labour force,314
March 2018,Ontario,Manufacturing,Employment,771.29999
March 2018,Ontario,Manufacturing,Labour force,798.70001
March 2018,Ontario,"Mining, quarrying, oil and gas",Employment,29.9
March 2018,Ontario,"Mining, quarrying, oil and gas",Labour force,30.799999
March 2018,Ontario,Other services,Employment,281
March 2018,Ontario,Other services,Labour force,287.29999
March 2018,Ontario,"Professional, scientific and technical services",Employment,613
March 2018,Ontario,"Professional, scientific and technical services",Labour force,627
March 2018,Ontario,Public administration,Employment,355.29999
March 2018,Ontario,Public administration,Labour force,358.89999
March 2018,Ontario,Real estate and leasing,Employment,150.10001
March 2018,Ontario,Real estate and leasing,Labour force,153.5
March 2018,Ontario,"Total, all industries",Employment,7025.1001
March 2018,Ontario,"Total, all industries",Labour force,7476.3999
March 2018,Ontario,Trade,Employment,1054.1
March 2018,Ontario,Trade,Labour force,1103.2
March 2018,Ontario,Transportation and warehousing,Employment,359.70001
March 2018,Ontario,Transportation and warehousing,Labour force,372.20001
March 2018,Ontario,Utilities,Employment,53.299999
March 2018,Ontario,Utilities,Labour force,53.599998
March 2018,Prince Edward Island,Accommodation and food services,Employment,5.4000001
March 2018,Prince Edward Island,Accommodation and food services,Labour force,6.6999998
March 2018,Prince Edward Island,Agriculture,Employment,3.3
March 2018,Prince Edward Island,Agriculture,Labour force,3.9000001
March 2018,Prince Edward Island,"Business, building and other support services",Employment,1.7
March 2018,Prince Edward Island,"Business, building and other support services",Labour force,2
March 2018,Prince Edward Island,Construction,Employment,4.8000002
March 2018,Prince Edward Island,Construction,Labour force,6.3000002
March 2018,Prince Edward Island,Digital Economy,Employment,3.9000001
March 2018,Prince Edward Island,Digital Economy,Labour force,3.9000001
March 2018,Prince Edward Island,Educational services,Employment,6.0999999
March 2018,Prince Edward Island,Educational services,Labour force,6.3000002
March 2018,Prince Edward Island,"Finance, insurance,",Employment,1.8
March 2018,Prince Edward Island,"Finance, insurance,",Labour force,1.8
March 2018,Prince Edward Island,"Forestry, fishing,",Employment,1.6
March 2018,Prince Edward Island,"Forestry, fishing,",Labour force,2.3
March 2018,Prince Edward Island,Health care and social assistance,Employment,10.6
March 2018,Prince Edward Island,Health care and social assistance,Labour force,10.6
March 2018,Prince Edward Island,Information and Communication Technologies,Employment,1.7
March 2018,Prince Edward Island,Information and Communication Technologies,Labour force,1.8
March 2018,Prince Edward Island,"Information, culture and recreation",Employment,2.4000001
March 2018,Prince Edward Island,"Information, culture and recreation",Labour force,2.9000001
March 2018,Prince Edward Island,Manufacturing,Employment,6.4000001
March 2018,Prince Edward Island,Manufacturing,Labour force,7.5
March 2018,Prince Edward Island,"Mining, quarrying, oil and gas",Employment,.30000001
March 2018,Prince Edward Island,"Mining, quarrying, oil and gas",Labour force,.30000001
March 2018,Prince Edward Island,Other services,Employment,3.2
March 2018,Prince Edward Island,Other services,Labour force,3.5
March 2018,Prince Edward Island,"Professional, scientific and technical services",Employment,3.5999999
March 2018,Prince Edward Island,"Professional, scientific and technical services",Labour force,3.7
March 2018,Prince Edward Island,Public administration,Employment,6
March 2018,Prince Edward Island,Public administration,Labour force,6.4000001
March 2018,Prince Edward Island,Real estate and leasing,Employment,1
March 2018,Prince Edward Island,Real estate and leasing,Labour force,1.1
March 2018,Prince Edward Island,"Total, all industries",Employment,71.300003
March 2018,Prince Edward Island,"Total, all industries",Labour force,81.599998
March 2018,Prince Edward Island,Trade,Employment,11.1
March 2018,Prince Edward Island,Trade,Labour force,12.1
March 2018,Prince Edward Island,Transportation and warehousing,Employment,1.9
March 2018,Prince Edward Island,Transportation and warehousing,Labour force,2.3
March 2018,Prince Edward Island,Utilities,Employment,.2
March 2018,Prince Edward Island,Utilities,Labour force,.2
March 2018,Quebec,Accommodation and food services,Employment,268.79999
March 2018,Quebec,Accommodation and food services,Labour force,290.29999
March 2018,Quebec,Agriculture,Employment,51.900002
March 2018,Quebec,Agriculture,Labour force,59.599998
March 2018,Quebec,"Business, building and other support services",Employment,178.2
March 2018,Quebec,"Business, building and other support services",Labour force,189.3
March 2018,Quebec,Construction,Employment,223.3
March 2018,Quebec,Construction,Labour force,257.39999
March 2018,Quebec,Digital Economy,Employment,425.39999
March 2018,Quebec,Digital Economy,Labour force,439.39999
March 2018,Quebec,Educational services,Employment,307
March 2018,Quebec,Educational services,Labour force,310.60001
March 2018,Quebec,"Finance, insurance,",Employment,166.39999
March 2018,Quebec,"Finance, insurance,",Labour force,168.2
March 2018,Quebec,"Forestry, fishing,",Employment,12.9
March 2018,Quebec,"Forestry, fishing,",Labour force,18.200001
March 2018,Quebec,Health care and social assistance,Employment,586
March 2018,Quebec,Health care and social assistance,Labour force,591.79999
March 2018,Quebec,Information and Communication Technologies,Employment,227.3
March 2018,Quebec,Information and Communication Technologies,Labour force,235.10001
March 2018,Quebec,"Information, culture and recreation",Employment,178.7
March 2018,Quebec,"Information, culture and recreation",Labour force,193
March 2018,Quebec,Manufacturing,Employment,473.89999
March 2018,Quebec,Manufacturing,Labour force,497.29999
March 2018,Quebec,"Mining, quarrying, oil and gas",Employment,19.5
March 2018,Quebec,"Mining, quarrying, oil and gas",Labour force,21
March 2018,Quebec,Other services,Employment,178
March 2018,Quebec,Other services,Labour force,185.7
March 2018,Quebec,"Professional, scientific and technical services",Employment,315.89999
March 2018,Quebec,"Professional, scientific and technical services",Labour force,327.29999
March 2018,Quebec,Public administration,Employment,244.2
March 2018,Quebec,Public administration,Labour force,246.5
March 2018,Quebec,Real estate and leasing,Employment,64.699997
March 2018,Quebec,Real estate and leasing,Labour force,67.300003
March 2018,Quebec,"Total, all industries",Employment,4156.2002
March 2018,Quebec,"Total, all industries",Labour force,4430.7998
March 2018,Quebec,Trade,Employment,644.79999
March 2018,Quebec,Trade,Labour force,671.09998
March 2018,Quebec,Transportation and warehousing,Employment,218.60001
March 2018,Quebec,Transportation and warehousing,Labour force,228.39999
March 2018,Quebec,Utilities,Employment,23.299999
March 2018,Quebec,Utilities,Labour force,23.299999
March 2018,Saskatchewan,Accommodation and food services,Employment,34.099998
March 2018,Saskatchewan,Accommodation and food services,Labour force,36.400002
March 2018,Saskatchewan,Agriculture,Employment,36.400002
March 2018,Saskatchewan,Agriculture,Labour force,37.099998
March 2018,Saskatchewan,"Business, building and other support services",Employment,13
March 2018,Saskatchewan,"Business, building and other support services",Labour force,14.1
March 2018,Saskatchewan,Construction,Employment,44.599998
March 2018,Saskatchewan,Construction,Labour force,52
March 2018,Saskatchewan,Digital Economy,Employment,34.299999
March 2018,Saskatchewan,Digital Economy,Labour force,35.100002
March 2018,Saskatchewan,Educational services,Employment,43.400002
March 2018,Saskatchewan,Educational services,Labour force,44.700001
March 2018,Saskatchewan,"Finance, insurance,",Employment,18.9
March 2018,Saskatchewan,"Finance, insurance,",Labour force,18.9
March 2018,Saskatchewan,"Forestry, fishing,",Employment,1.2
March 2018,Saskatchewan,"Forestry, fishing,",Labour force,1.2
March 2018,Saskatchewan,Health care and social assistance,Employment,78.699997
March 2018,Saskatchewan,Health care and social assistance,Labour force,79.400002
March 2018,Saskatchewan,Information and Communication Technologies,Employment,13.6
March 2018,Saskatchewan,Information and Communication Technologies,Labour force,14
March 2018,Saskatchewan,"Information, culture and recreation",Employment,19.4
March 2018,Saskatchewan,"Information, culture and recreation",Labour force,20.200001
March 2018,Saskatchewan,Manufacturing,Employment,27.5
March 2018,Saskatchewan,Manufacturing,Labour force,28.9
March 2018,Saskatchewan,"Mining, quarrying, oil and gas",Employment,23.700001
March 2018,Saskatchewan,"Mining, quarrying, oil and gas",Labour force,25
March 2018,Saskatchewan,Other services,Employment,24.9
March 2018,Saskatchewan,Other services,Labour force,25.9
March 2018,Saskatchewan,"Professional, scientific and technical services",Employment,25.1
March 2018,Saskatchewan,"Professional, scientific and technical services",Labour force,25.6
March 2018,Saskatchewan,Public administration,Employment,29.200001
March 2018,Saskatchewan,Public administration,Labour force,29.6
March 2018,Saskatchewan,Real estate and leasing,Employment,8.1999998
March 2018,Saskatchewan,Real estate and leasing,Labour force,8.5
March 2018,Saskatchewan,"Total, all industries",Employment,554
March 2018,Saskatchewan,"Total, all industries",Labour force,592.40002
March 2018,Saskatchewan,Trade,Employment,88.5
March 2018,Saskatchewan,Trade,Labour force,93.099998
March 2018,Saskatchewan,Transportation and warehousing,Employment,30.799999
March 2018,Saskatchewan,Transportation and warehousing,Labour force,32.799999
March 2018,Saskatchewan,Utilities,Employment,6.4000001
March 2018,Saskatchewan,Utilities,Labour force,6.5
February 2018,Alberta,Accommodation and food services,Employment,141.10001
February 2018,Alberta,Accommodation and food services,Labour force,150.89999
February 2018,Alberta,Agriculture,Employment,46.299999
February 2018,Alberta,Agriculture,Labour force,47.900002
February 2018,Alberta,"Business, building and other support services",Employment,75.400002
February 2018,Alberta,"Business, building and other support services",Labour force,84.5
February 2018,Alberta,Construction,Employment,222.39999
February 2018,Alberta,Construction,Labour force,250.3
February 2018,Alberta,Digital Economy,Employment,168.10001
February 2018,Alberta,Digital Economy,Labour force,176
February 2018,Alberta,Educational services,Employment,165.10001
February 2018,Alberta,Educational services,Labour force,169
February 2018,Alberta,"Finance, insurance,",Employment,62.799999
February 2018,Alberta,"Finance, insurance,",Labour force,67.699997
February 2018,Alberta,"Forestry, fishing,",Employment,6
February 2018,Alberta,"Forestry, fishing,",Labour force,6.0999999
February 2018,Alberta,Health care and social assistance,Employment,268
February 2018,Alberta,Health care and social assistance,Labour force,271.10001
February 2018,Alberta,Information and Communication Technologies,Employment,66.900002
February 2018,Alberta,Information and Communication Technologies,Labour force,69.199997
February 2018,Alberta,"Information, culture and recreation",Employment,70.199997
February 2018,Alberta,"Information, culture and recreation",Labour force,73
February 2018,Alberta,Manufacturing,Employment,122.1
February 2018,Alberta,Manufacturing,Labour force,127.2
February 2018,Alberta,"Mining, quarrying, oil and gas",Employment,143.89999
February 2018,Alberta,"Mining, quarrying, oil and gas",Labour force,149.60001
February 2018,Alberta,Other services,Employment,108.6
February 2018,Alberta,Other services,Labour force,112.8
February 2018,Alberta,"Professional, scientific and technical services",Employment,171.89999
February 2018,Alberta,"Professional, scientific and technical services",Labour force,175.60001
February 2018,Alberta,Public administration,Employment,98.900002
February 2018,Alberta,Public administration,Labour force,102.1
February 2018,Alberta,Real estate and leasing,Employment,43.099998
February 2018,Alberta,Real estate and leasing,Labour force,45.700001
February 2018,Alberta,"Total, all industries",Employment,2229
February 2018,Alberta,"Total, all industries",Labour force,2392.1001
February 2018,Alberta,Trade,Employment,323.89999
February 2018,Alberta,Trade,Labour force,333
February 2018,Alberta,Transportation and warehousing,Employment,138.7
February 2018,Alberta,Transportation and warehousing,Labour force,142.8
February 2018,Alberta,Utilities,Employment,20.700001
February 2018,Alberta,Utilities,Labour force,21.200001
February 2018,British Columbia,Accommodation and food services,Employment,178.60001
February 2018,British Columbia,Accommodation and food services,Labour force,190.89999
February 2018,British Columbia,Agriculture,Employment,23.6
February 2018,British Columbia,Agriculture,Labour force,25.299999
February 2018,British Columbia,"Business, building and other support services",Employment,97.199997
February 2018,British Columbia,"Business, building and other support services",Labour force,100.6
February 2018,British Columbia,Construction,Employment,244.8
February 2018,British Columbia,Construction,Labour force,256.79999
February 2018,British Columbia,Digital Economy,Employment,222.39999
February 2018,British Columbia,Digital Economy,Labour force,231.10001
February 2018,British Columbia,Educational services,Employment,176.8
February 2018,British Columbia,Educational services,Labour force,177.2
February 2018,British Columbia,"Finance, insurance,",Employment,97.099998
February 2018,British Columbia,"Finance, insurance,",Labour force,99.800003
February 2018,British Columbia,"Forestry, fishing,",Employment,20.700001
February 2018,British Columbia,"Forestry, fishing,",Labour force,22.200001
February 2018,British Columbia,Health care and social assistance,Employment,332.10001
February 2018,British Columbia,Health care and social assistance,Labour force,335.29999
February 2018,British Columbia,Information and Communication Technologies,Employment,120.9
February 2018,British Columbia,Information and Communication Technologies,Labour force,125.7
February 2018,British Columbia,"Information, culture and recreation",Employment,128.39999
February 2018,British Columbia,"Information, culture and recreation",Labour force,133.60001
February 2018,British Columbia,Manufacturing,Employment,179.5
February 2018,British Columbia,Manufacturing,Labour force,185.39999
February 2018,British Columbia,"Mining, quarrying, oil and gas",Employment,31.299999
February 2018,British Columbia,"Mining, quarrying, oil and gas",Labour force,32
February 2018,British Columbia,Other services,Employment,125.5
February 2018,British Columbia,Other services,Labour force,127.5
February 2018,British Columbia,"Professional, scientific and technical services",Employment,211.39999
February 2018,British Columbia,"Professional, scientific and technical services",Labour force,214.2
February 2018,British Columbia,Public administration,Employment,107.3
February 2018,British Columbia,Public administration,Labour force,108.2
February 2018,British Columbia,Real estate and leasing,Employment,57.900002
February 2018,British Columbia,Real estate and leasing,Labour force,58.400002
February 2018,British Columbia,"Total, all industries",Employment,2545.2
February 2018,British Columbia,"Total, all industries",Labour force,2680.6001
February 2018,British Columbia,Trade,Employment,390.39999
February 2018,British Columbia,Trade,Labour force,408.60001
February 2018,British Columbia,Transportation and warehousing,Employment,129.2
February 2018,British Columbia,Transportation and warehousing,Labour force,134.10001
February 2018,British Columbia,Utilities,Employment,13.4
February 2018,British Columbia,Utilities,Labour force,13.5
February 2018,Canada,Accommodation and food services,Employment,1191.8
February 2018,Canada,Accommodation and food services,Labour force,1274.1
February 2018,Canada,Agriculture,Employment,257.79999
February 2018,Canada,Agriculture,Labour force,272.39999
February 2018,Canada,"Business, building and other support services",Employment,719.09998
February 2018,Canada,"Business, building and other support services",Labour force,765.79999
February 2018,Canada,Construction,Employment,1331.3
February 2018,Canada,Construction,Labour force,1488
February 2018,Canada,Digital Economy,Employment,1769.3
February 2018,Canada,Digital Economy,Labour force,1826.1
February 2018,Canada,Educational services,Employment,1352.9
February 2018,Canada,Educational services,Labour force,1372.4
February 2018,Canada,"Finance, insurance,",Employment,805
February 2018,Canada,"Finance, insurance,",Labour force,820.40002
February 2018,Canada,"Forestry, fishing,",Employment,64.800003
February 2018,Canada,"Forestry, fishing,",Labour force,78.300003
February 2018,Canada,Health care and social assistance,Employment,2369.1001
February 2018,Canada,Health care and social assistance,Labour force,2396.1001
February 2018,Canada,Information and Communication Technologies,Employment,874.20001
February 2018,Canada,Information and Communication Technologies,Labour force,900.20001
February 2018,Canada,"Information, culture and recreation",Employment,752.09998
February 2018,Canada,"Information, culture and recreation",Labour force,798.79999
February 2018,Canada,Manufacturing,Employment,1713.6
February 2018,Canada,Manufacturing,Labour force,1789.4
February 2018,Canada,"Mining, quarrying, oil and gas",Employment,267
February 2018,Canada,"Mining, quarrying, oil and gas",Labour force,279
February 2018,Canada,Other services,Employment,787.59998
February 2018,Canada,Other services,Labour force,807.5
February 2018,Canada,"Professional, scientific and technical services",Employment,1410.6
February 2018,Canada,"Professional, scientific and technical services",Labour force,1445.4
February 2018,Canada,Public administration,Employment,935.20001
February 2018,Canada,Public administration,Labour force,953.5
February 2018,Canada,Real estate and leasing,Employment,351.79999
February 2018,Canada,Real estate and leasing,Labour force,358.5
February 2018,Canada,"Total, all industries",Employment,18168.6
February 2018,Canada,"Total, all industries",Labour force,19375.5
February 2018,Canada,Trade,Employment,2760.6001
February 2018,Canada,Trade,Labour force,2882.6001
February 2018,Canada,Transportation and warehousing,Employment,964
February 2018,Canada,Transportation and warehousing,Labour force,1001.1
February 2018,Canada,Utilities,Employment,134.5
February 2018,Canada,Utilities,Labour force,137.39999
February 2018,Manitoba,Accommodation and food services,Employment,44.700001
February 2018,Manitoba,Accommodation and food services,Labour force,46.700001
February 2018,Manitoba,Agriculture,Employment,25
February 2018,Manitoba,Agriculture,Labour force,25.5
February 2018,Manitoba,"Business, building and other support services",Employment,17.700001
February 2018,Manitoba,"Business, building and other support services",Labour force,19.1
February 2018,Manitoba,Construction,Employment,42.400002
February 2018,Manitoba,Construction,Labour force,48.599998
February 2018,Manitoba,Digital Economy,Employment,42.600002
February 2018,Manitoba,Digital Economy,Labour force,44.799999
February 2018,Manitoba,Educational services,Employment,54.299999
February 2018,Manitoba,Educational services,Labour force,55.400002
February 2018,Manitoba,"Finance, insurance,",Employment,26.200001
February 2018,Manitoba,"Finance, insurance,",Labour force,26.5
February 2018,Manitoba,"Forestry, fishing,",Employment,.89999998
February 2018,Manitoba,"Forestry, fishing,",Labour force,1
February 2018,Manitoba,Health care and social assistance,Employment,101.6
February 2018,Manitoba,Health care and social assistance,Labour force,102.8
February 2018,Manitoba,Information and Communication Technologies,Employment,16.700001
February 2018,Manitoba,Information and Communication Technologies,Labour force,17.4
February 2018,Manitoba,"Information, culture and recreation",Employment,20.5
February 2018,Manitoba,"Information, culture and recreation",Labour force,22.200001
February 2018,Manitoba,Manufacturing,Employment,60.599998
February 2018,Manitoba,Manufacturing,Labour force,62.099998
February 2018,Manitoba,"Mining, quarrying, oil and gas",Employment,6.0999999
February 2018,Manitoba,"Mining, quarrying, oil and gas",Labour force,6.5
February 2018,Manitoba,Other services,Employment,28.9
February 2018,Manitoba,Other services,Labour force,29.799999
February 2018,Manitoba,"Professional, scientific and technical services",Employment,29.4
February 2018,Manitoba,"Professional, scientific and technical services",Labour force,30.200001
February 2018,Manitoba,Public administration,Employment,31
February 2018,Manitoba,Public administration,Labour force,32.599998
February 2018,Manitoba,Real estate and leasing,Employment,9.8999996
February 2018,Manitoba,Real estate and leasing,Labour force,10.1
February 2018,Manitoba,"Total, all industries",Employment,632.59998
February 2018,Manitoba,"Total, all industries",Labour force,674.29999
February 2018,Manitoba,Trade,Employment,89.900002
February 2018,Manitoba,Trade,Labour force,92.5
February 2018,Manitoba,Transportation and warehousing,Employment,35.900002
February 2018,Manitoba,Transportation and warehousing,Labour force,37.5
February 2018,Manitoba,Utilities,Employment,7.5
February 2018,Manitoba,Utilities,Labour force,7.5
February 2018,New Brunswick,Accommodation and food services,Employment,23.1
February 2018,New Brunswick,Accommodation and food services,Labour force,25.5
February 2018,New Brunswick,Agriculture,Employment,4.4000001
February 2018,New Brunswick,Agriculture,Labour force,5
February 2018,New Brunswick,"Business, building and other support services",Employment,15.3
February 2018,New Brunswick,"Business, building and other support services",Labour force,16.799999
February 2018,New Brunswick,Construction,Employment,20.700001
February 2018,New Brunswick,Construction,Labour force,29.299999
February 2018,New Brunswick,Digital Economy,Employment,20.9
February 2018,New Brunswick,Digital Economy,Labour force,21.6
February 2018,New Brunswick,Educational services,Employment,27.4
February 2018,New Brunswick,Educational services,Labour force,28.1
February 2018,New Brunswick,"Finance, insurance,",Employment,12.7
February 2018,New Brunswick,"Finance, insurance,",Labour force,12.9
February 2018,New Brunswick,"Forestry, fishing,",Employment,4.1999998
February 2018,New Brunswick,"Forestry, fishing,",Labour force,6.3000002
February 2018,New Brunswick,Health care and social assistance,Employment,60.700001
February 2018,New Brunswick,Health care and social assistance,Labour force,61.599998
February 2018,New Brunswick,Information and Communication Technologies,Employment,9.1999998
February 2018,New Brunswick,Information and Communication Technologies,Labour force,9.3999996
February 2018,New Brunswick,"Information, culture and recreation",Employment,10.1
February 2018,New Brunswick,"Information, culture and recreation",Labour force,11.3
February 2018,New Brunswick,Manufacturing,Employment,31.5
February 2018,New Brunswick,Manufacturing,Labour force,34.5
February 2018,New Brunswick,"Mining, quarrying, oil and gas",Employment,3.0999999
February 2018,New Brunswick,"Mining, quarrying, oil and gas",Labour force,4.1999998
February 2018,New Brunswick,Other services,Employment,14
February 2018,New Brunswick,Other services,Labour force,14.5
February 2018,New Brunswick,"Professional, scientific and technical services",Employment,16.799999
February 2018,New Brunswick,"Professional, scientific and technical services",Labour force,17.5
February 2018,New Brunswick,Public administration,Employment,22.6
February 2018,New Brunswick,Public administration,Labour force,23.4
February 2018,New Brunswick,Real estate and leasing,Employment,3.8
February 2018,New Brunswick,Real estate and leasing,Labour force,3.8
February 2018,New Brunswick,"Total, all industries",Employment,345.39999
February 2018,New Brunswick,"Total, all industries",Labour force,381.20001
February 2018,New Brunswick,Trade,Employment,54.299999
February 2018,New Brunswick,Trade,Labour force,59
February 2018,New Brunswick,Transportation and warehousing,Employment,17.299999
February 2018,New Brunswick,Transportation and warehousing,Labour force,18.200001
February 2018,New Brunswick,Utilities,Employment,3.2
February 2018,New Brunswick,Utilities,Labour force,3.2
February 2018,Newfoundland and Labrador,Accommodation and food services,Employment,14
February 2018,Newfoundland and Labrador,Accommodation and food services,Labour force,16.9
February 2018,Newfoundland and Labrador,Agriculture,Employment,.89999998
February 2018,Newfoundland and Labrador,Agriculture,Labour force,1.4
February 2018,Newfoundland and Labrador,"Business, building and other support services",Employment,5.6999998
February 2018,Newfoundland and Labrador,"Business, building and other support services",Labour force,7.0999999
February 2018,Newfoundland and Labrador,Construction,Employment,19.5
February 2018,Newfoundland and Labrador,Construction,Labour force,31.4
February 2018,Newfoundland and Labrador,Digital Economy,Employment,12.3
February 2018,Newfoundland and Labrador,Digital Economy,Labour force,14.400001
February 2018,Newfoundland and Labrador,Educational services,Employment,16.200001
February 2018,Newfoundland and Labrador,Educational services,Labour force,16.700001
February 2018,Newfoundland and Labrador,"Finance, insurance,",Employment,5.1999998
February 2018,Newfoundland and Labrador,"Finance, insurance,",Labour force,5.5
February 2018,Newfoundland and Labrador,"Forestry, fishing,",Employment,3.3
February 2018,Newfoundland and Labrador,"Forestry, fishing,",Labour force,5.6999998
February 2018,Newfoundland and Labrador,Health care and social assistance,Employment,38.200001
February 2018,Newfoundland and Labrador,Health care and social assistance,Labour force,39.099998
February 2018,Newfoundland and Labrador,Information and Communication Technologies,Employment,5
February 2018,Newfoundland and Labrador,Information and Communication Technologies,Labour force,5.4000001
February 2018,Newfoundland and Labrador,"Information, culture and recreation",Employment,6.3000002
February 2018,Newfoundland and Labrador,"Information, culture and recreation",Labour force,7.8000002
February 2018,Newfoundland and Labrador,Manufacturing,Employment,6.5999999
February 2018,Newfoundland and Labrador,Manufacturing,Labour force,10.7
February 2018,Newfoundland and Labrador,"Mining, quarrying, oil and gas",Employment,7.0999999
February 2018,Newfoundland and Labrador,"Mining, quarrying, oil and gas",Labour force,7.5
February 2018,Newfoundland and Labrador,Other services,Employment,11.8
February 2018,Newfoundland and Labrador,Other services,Labour force,13.8
February 2018,Newfoundland and Labrador,"Professional, scientific and technical services",Employment,8.5
February 2018,Newfoundland and Labrador,"Professional, scientific and technical services",Labour force,9.1000004
February 2018,Newfoundland and Labrador,Public administration,Employment,14.6
February 2018,Newfoundland and Labrador,Public administration,Labour force,15.9
February 2018,Newfoundland and Labrador,Real estate and leasing,Employment,1.4
February 2018,Newfoundland and Labrador,Real estate and leasing,Labour force,1.7
February 2018,Newfoundland and Labrador,"Total, all industries",Employment,211.60001
February 2018,Newfoundland and Labrador,"Total, all industries",Labour force,253.5
February 2018,Newfoundland and Labrador,Trade,Employment,37.099998
February 2018,Newfoundland and Labrador,Trade,Labour force,39.700001
February 2018,Newfoundland and Labrador,Transportation and warehousing,Employment,11.9
February 2018,Newfoundland and Labrador,Transportation and warehousing,Labour force,12.7
February 2018,Newfoundland and Labrador,Utilities,Employment,3.2
February 2018,Newfoundland and Labrador,Utilities,Labour force,3.5999999
February 2018,Nova Scotia,Accommodation and food services,Employment,32.400002
February 2018,Nova Scotia,Accommodation and food services,Labour force,34.200001
February 2018,Nova Scotia,Agriculture,Employment,4.4000001
February 2018,Nova Scotia,Agriculture,Labour force,5.5
February 2018,Nova Scotia,"Business, building and other support services",Employment,17.4
February 2018,Nova Scotia,"Business, building and other support services",Labour force,19.6
February 2018,Nova Scotia,Construction,Employment,30.6
February 2018,Nova Scotia,Construction,Labour force,37.599998
February 2018,Nova Scotia,Digital Economy,Employment,35.5
February 2018,Nova Scotia,Digital Economy,Labour force,37.299999
February 2018,Nova Scotia,Educational services,Employment,38.900002
February 2018,Nova Scotia,Educational services,Labour force,39.400002
February 2018,Nova Scotia,"Finance, insurance,",Employment,14.4
February 2018,Nova Scotia,"Finance, insurance,",Labour force,14.8
February 2018,Nova Scotia,"Forestry, fishing,",Employment,7.5999999
February 2018,Nova Scotia,"Forestry, fishing,",Labour force,9.6000004
February 2018,Nova Scotia,Health care and social assistance,Employment,66.699997
February 2018,Nova Scotia,Health care and social assistance,Labour force,68.199997
February 2018,Nova Scotia,Information and Communication Technologies,Employment,16.299999
February 2018,Nova Scotia,Information and Communication Technologies,Labour force,16.799999
February 2018,Nova Scotia,"Information, culture and recreation",Employment,15.7
February 2018,Nova Scotia,"Information, culture and recreation",Labour force,17.5
February 2018,Nova Scotia,Manufacturing,Employment,29.1
February 2018,Nova Scotia,Manufacturing,Labour force,32.099998
February 2018,Nova Scotia,"Mining, quarrying, oil and gas",Employment,1.6
February 2018,Nova Scotia,"Mining, quarrying, oil and gas",Labour force,2.5
February 2018,Nova Scotia,Other services,Employment,17.4
February 2018,Nova Scotia,Other services,Labour force,17.6
February 2018,Nova Scotia,"Professional, scientific and technical services",Employment,26
February 2018,Nova Scotia,"Professional, scientific and technical services",Labour force,28.299999
February 2018,Nova Scotia,Public administration,Employment,28.5
February 2018,Nova Scotia,Public administration,Labour force,30.200001
February 2018,Nova Scotia,Real estate and leasing,Employment,7.5
February 2018,Nova Scotia,Real estate and leasing,Labour force,7.8000002
February 2018,Nova Scotia,"Total, all industries",Employment,435.89999
February 2018,Nova Scotia,"Total, all industries",Labour force,479.20001
February 2018,Nova Scotia,Trade,Employment,74.599998
February 2018,Nova Scotia,Trade,Labour force,78.599998
February 2018,Nova Scotia,Transportation and warehousing,Employment,19.200001
February 2018,Nova Scotia,Transportation and warehousing,Labour force,20.4
February 2018,Nova Scotia,Utilities,Employment,3.7
February 2018,Nova Scotia,Utilities,Labour force,4
February 2018,Ontario,Accommodation and food services,Employment,454.5
February 2018,Ontario,Accommodation and food services,Labour force,488.5
February 2018,Ontario,Agriculture,Employment,68.300003
February 2018,Ontario,Agriculture,Labour force,72.099998
February 2018,Ontario,"Business, building and other support services",Employment,293.5
February 2018,Ontario,"Business, building and other support services",Labour force,309.10001
